"","Recovery.Phase","Trial","Genotype","Treatment","Coral.ID","Replicate","alpha","ETRm","Fv.Fm","Y.NPQ.","Days.Post.Experiment"
"176","4",8,60,"High Temp High NTU","60-8",1,0.115,23.318,0.578,0.526,91
"177","a",6,84,"High Temp High NTU","84-1",1,0.275,116.106,0.694,0.196,-4
"178","a",6,84,"High Temp High NTU","84-1",2,0.28,119.739,0.708,0.203,-4
"179","a",6,84,"High Temp","84-9",1,0.249,106.644,0.645,0.225,-4
"180","a",6,84,"High Temp","84-9",2,0.266,106.531,0.707,0.166,-4
"181","a",6,84,"Control","84-5",1,0.244,121.324,0.626,0.27,-4
"182","a",6,84,"Control","84-5",2,0.196,121.457,0.649,0.26,-4
"183","a",6,84,"High NTU","84-8",1,0.241,131.712,0.624,0.244,-4
"184","a",6,84,"High NTU","84-8",2,0.243,119.476,0.638,0.245,-4
"185","a",6,90,"High Temp","90-6",1,0.161,134.044,0.599,0.378,-4
"186","a",6,90,"High Temp","90-6",2,0.234,143.78,0.636,0.307,-4
"187","a",6,90,"High NTU","90-3",1,0.235,122.93,0.642,0.307,-4
"188","a",6,90,"High NTU","90-3",2,0.229,129.802,0.622,0.351,-4
"189","a",6,90,"High Temp High NTU","90-4",1,0.226,140.326,0.603,0.311,-4
"190","a",6,90,"High Temp High NTU","90-4",2,0.335,87.926,0.615,0.516,-4
"191","a",6,90,"Control","90-7",1,0.343,89.904,0.62,0.516,-4
"192","a",6,90,"Control","90-7",2,0.379,74.312,0.626,0.518,-4
"193","a",8,50,"Control","50-10",1,0.236,132.322,0.646,0.219,-4
"194","a",8,50,"Control","50-10",2,0.252,144.815,0.68,0.21,-4
"195","a",8,50,"High Temp","50-9",1,0.25,134.468,0.665,0.193,-4
"196","a",8,50,"High Temp","50-9",2,0.194,138.34,0.653,0.229,-4
"197","a",8,50,"High Temp High NTU","50-7",1,0.244,135.839,0.673,0.144,-4
"198","a",8,50,"High Temp High NTU","50-7",2,0.231,147.595,0.667,0.179,-4
"199","a",8,50,"High NTU","50-8",1,0.199,146.724,0.645,0.163,-4
"200","a",8,50,"High NTU","50-8",2,0.249,154.176,0.667,0.14,-4
"201","a",7,101,"Control","101-15",1,0.182,98.292,0.634,0.311,-4
"202","a",7,101,"Control","101-15",2,0.254,102.254,0.668,0.285,-4
"203","a",7,101,"High Temp High NTU","101-12",1,0.209,89.409,0.674,0.262,-4
"204","a",7,101,"High Temp High NTU","101-12",2,0.195,97.424,0.67,0.274,-4
"205","a",7,101,"High NTU","101-6",1,0.246,84.332,0.684,0.204,-4
"206","a",7,101,"High NTU","101-6",2,0.275,93.778,0.694,0.192,-4
"207","a",7,101,"High Temp","101-13",1,0.241,111.008,0.651,0.266,-4
"208","a",7,101,"High Temp","101-13",2,0.237,109.87,0.673,0.263,-4
"209","a",7,97,"High Temp","97-6",1,0.275,85.575,0.716,0.188,-4
"210","a",7,97,"High Temp","97-6",2,0.27,88.859,0.725,0.2,-4
"211","a",7,97,"Control","97-9",1,0.276,92.75,0.702,0.181,-4
"212","a",7,97,"Control","97-9",2,0.284,87.58,0.735,0.17,-4
"213","a",7,97,"High Temp High NTU","97-4",1,0.269,88.323,0.721,0.168,-4
"214","a",7,97,"High Temp High NTU","97-4",2,0.267,83.661,0.708,0.182,-4
"215","a",7,97,"High NTU","97-8",1,0.276,90.345,0.723,0.147,-4
"216","a",7,97,"High NTU","97-8",2,0.265,91.888,0.723,0.142,-4
"217","a",10,67,"High Temp","67-18",1,0.272,69.827,0.673,0.185,-4
"218","a",10,67,"High Temp","67-18",2,0.264,62.26,0.694,0.255,-4
"219","a",10,67,"High NTU","67-15",1,0.195,66.502,0.652,0.251,-4
"220","a",10,67,"High NTU","67-15",2,0.263,66.064,0.69,0.24,-4
"221","a",10,67,"Control","67-11",1,0.194,65.867,0.67,0.236,-4
"222","a",10,67,"Control","67-11",2,0.243,68.525,0.68,0.273,-4
"223","a",10,67,"High Temp High NTU","67-14",1,0.287,91.292,0.72,0.122,-4
"224","a",10,67,"High Temp High NTU","67-14",2,0.281,78.261,0.711,0.161,-4
"225","a",8,60,"Control","60-1",1,0.265,196.736,0.681,0.211,-4
"226","a",8,60,"Control","60-1",2,0.263,177.737,0.627,0.245,-4
"227","a",8,60,"High Temp High NTU","60-8",1,0.251,193.231,0.68,0.244,-4
"228","a",8,60,"High Temp High NTU","60-8",2,0.242,227.71,0.654,0.215,-4
"229","a",8,60,"High Temp","60-9",1,0.25,174.226,0.641,0.25,-4
"230","a",8,60,"High Temp","60-9",2,0.249,160.718,0.653,0.249,-4
"231","a",8,60,"High NTU","60-7",1,0.248,153.696,0.643,0.271,-4
"232","a",8,60,"High NTU","60-7",2,0.248,159.566,0.659,0.276,-4
"233","a",10,80,"Control","80-18",2,0.208,98.113,0.667,0.43,-4
"234","a",10,80,"High Temp","80-16",1,0.234,90.742,0.705,0.287,-4
"235","a",10,80,"High Temp","80-16",2,0.237,101.6,0.681,0.286,-4
"236","a",10,80,"Control","80-18",1,0.235,95.718,0.666,0.374,-4
"237","a",10,80,"High Temp High NTU","80-13",2,0.245,106.199,0.683,0.303,-4
"238","a",10,80,"High NTU","80-22",1,0.235,101.313,0.689,0.305,-4
"239","a",10,80,"High NTU","80-22",2,0.24,98.817,0.683,0.309,-4
"240","a",10,80,"High Temp High NTU","80-13",1,0.231,98.351,0.668,0.31,-4
