Trial,Recovery Phase,Genotype,Treatment,Coral ID,Replicate,alpha,ETRm,Fv/Fm,Y(NPQ)
4,2,50,29,50-2,1,0.242,119.954,0.655,0.196
4,2,60,29,60-2,1,0.242,127.883,0.673,0.334
4,2,50,50,50-1,1,0.257,102.162,0.7,0.207
4,3,50,15,50-3,1,0.258,103.938,0.722,0.245
4,3,50,29,50-2,1,0.266,104.338,0.732,0.223
4,3,50,50,50-1,1,0.271,91.33,0.728,0.217
4,3,50,0,50-5,1,0.267,97.771,0.735,0.217
4,3,60,0,60-6,1,0.239,107.055,0.701,0.39
4,3,60,15,60-5,1,0.236,106.79,0.696,0.39
4,3,60,50,60-4,1,0.238,111.977,0.695,0.395
4,3,60,29,60-2,1,0.243,118.34,0.684,0.381
4,4,50,50,50-1,1,0.23,63.248,0.717,0.206
4,4,50,29,50-2,1,0.241,72.683,0.687,0.243
4,4,50,15,50-3,1,0.24,70.406,0.707,0.196
4,4,50,0,50-5,1,0.245,63.637,0.716,0.17
4,4,60,29,60-2,1,0.153,59.906,0.656,0.449
4,4,60,50,60-4,1,0.157,60.721,0.67,0.446
4,4,60,15,60-5,1,0.129,51.532,0.635,0.393
4,4,60,0,60-6,1,0.135,36.402,0.645,0.273
9,a,80,0,80-19,1,0.243,124.16,0.682,0.246
9,a,80,0,80-19,2,0.197,113.165,0.678,0.276
9,a,80,15,80-15,1,0.246,129.383,0.688,0.315
9,a,80,15,80-15,2,0.242,134.415,0.666,0.331
9,a,80,50,80-14,1,0.245,127.653,0.675,0.317
9,a,80,50,80-14,2,0.206,133.334,0.671,0.289
9,a,80,29,80-21,1,0.25,132.878,0.667,0.28
9,a,80,29,80-21,2,0.235,232.44,0.674,0.329
9,a,80,x,80-17,1,0.238,107.948,0.689,0.328
9,a,80,x,80-17,2,0.234,110.196,0.694,0.326
9,a,67,x,67-13,1,0.254,74.378,0.685,0.239
9,a,67,x,67-13,2,0.254,82.238,0.675,0.269
9,a,67,0,67-23,1,0.181,12.304,0.663,0.344
9,a,67,15,67-22,1,0.165,91.842,0.619,0.283
9,a,67,29,67-16,1,0.193,92.867,0.653,0.321
9,a,67,29,67-16,2,0.241,89.261,0.703,0.348
9,a,67,50,67-12,1,0.185,75.542,0.66,0.316
9,a,67,50,67-12,2,0.2,82.548,0.68,0.262
9,0,67,50,67-12,1,0.185,49.002,0.708,0.311
9,0,67,50,67-12,2,0.163,80.746,0.667,0.343
9,0,67,29,67-16,1,0.197,83.624,0.697,0.266
9,0,67,29,67-16,2,0.201,86.032,0.745,0.295
9,0,67,15,67-22,1,0.217,97.755,0.627,0.268
9,0,67,15,67-22,2,0.165,78.753,0.615,0.285
9,0,67,0,67-23,1,0.19,113.461,0.66,0.267
9,0,80,29,80-21,1,0.199,139.145,0.644,0.248
9,0,80,29,80-21,2,0.196,150.958,0.664,0.23
9,0,80,50,80-14,1,0.238,144.385,0.65,0.229
9,0,80,50,80-14,2,0.242,143.048,0.621,0.202
9,0,80,15,80-15,1,0.231,120.112,0.631,0.252
9,0,80,15,80-15,2,0.195,134.944,0.658,0.246
9,0,80,0,80-19,1,0.225,139.047,0.607,0.221
9,0,80,0,80-19,2,0.234,149.22,0.657,0.215
9,1,80,0,80-19,1,0.172,69.079,0.678,0.325
9,1,80,15,80-15,1,0.222,75.029,0.68,0.384
9,1,80,50,80-14,1,0.171,77.495,0.672,0.41
9,1,80,29,80-21,1,0.208,82.39,0.655,0.43
9,1,67,50,67-12,1,0.119,47.012,0.632,0.308
9,1,67,29,67-16,1,0.155,42.618,0.65,0.319
9,1,67,15,67-22,1,0.147,64.51,0.632,0.337
9,1,67,0,67-23,1,0.156,79.026,0.644,0.387
9,2,80,15,80-15,1,0.207,41.638,0.629,0.556
9,2,80,50,80-14,1,0.214,39.252,0.639,0.548
9,2,80,0,80-19,1,0.187,37.423,0.621,0.537
9,2,80,29,80-21,1,0.193,29.782,0.632,0.536
9,2,67,15,67-22,1,0.119,25.917,0.464,0.523
9,2,67,0,67-23,1,0.089,20.984,0.501,0.544
9,2,67,50,67-12,1,0.053,14.007,0.473,0.552
9,2,67,29,67-16,1,0.191,14.156,0.605,0.453
